dgv_organization_id,dgv_organization_name,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA IF (Direction Régionale et Interdépartementale de l'Equipement et de l'Aménagement d'Île-de-France),,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA IF/UD 75,,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA IF/UD 75 (Unité départementale de l'équipement et de l'aménagement de Paris),,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA-IF/UDEA75,,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA-IF/UTEA75,,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA-IF/UTEA94,,,
559cf574c751df428c390bd5,Direction Régionale et Interdépartementale de l'Équipement et de l'Aménagement d'Île-de-France,559cf574c751df428c390bd5,DRIEA/UTEA75,,,
559c07ffc751df6d14390bd3,DREAL Auvergne,559c07ffc751df6d14390bd3,DREAL Auvergne,Direction Régionale de l’Environnement de l’Aménagement et du Logement d'Auvergne-Rhône-Alpes (DREAL Auvergne-Rhône-Alpes),d6e43fd0a6bd03fff3aed949f9399ea3,http://www.geocatalogue.fr/www/dcat/d6e43fd0a6bd03fff3aed949f9399ea3/catalog.rdf
559c0165c751df414e390bd4,Direction Départementale des Territoires de Charente,559c0165c751df414e390bd4,DDT Charente,,,
559c0040c751df36b4390bd3,DREAL Poitou-Charentes,559c0040c751df36b4390bd3,DREAL Poitou-Charentes,,,
559a4970c751df46a9a453ba,Région Bretagne,559a4970c751df46a9a453ba,BDI,Préfecture de la région Bretagne,d617d54fee0d56cbe5fdc640bbeff3ca,http://www.geocatalogue.fr/www/dcat/d617d54fee0d56cbe5fdc640bbeff3ca/catalog.rdf
559a4970c751df46a9a453ba,Région Bretagne,559a4970c751df46a9a453ba,Conseil Régional de Bretagne,Préfecture de la région Bretagne,d617d54fee0d56cbe5fdc640bbeff3ca,http://www.geocatalogue.fr/www/dcat/d617d54fee0d56cbe5fdc640bbeff3ca/catalog.rdf
559a4970c751df46a9a453ba,Région Bretagne,559a4970c751df46a9a453ba,Région Bretagne,Préfecture de la région Bretagne,d617d54fee0d56cbe5fdc640bbeff3ca,http://www.geocatalogue.fr/www/dcat/d617d54fee0d56cbe5fdc640bbeff3ca/catalog.rdf
55910338c751df495fa453b9,Centre Régional Auvergne-Rhône-Alpes de l'Information Géographique,55910338c751df495fa453b9,Agence régionale de développement des territoires d'Auvergne (ARDTA),Centre Régional Auvergne-Rhône-Alpes de l'Information Géographique (CRAIG),54514ad8ee6cc5a34938e6a92ae25b35,http://www.geocatalogue.fr/www/dcat/54514ad8ee6cc5a34938e6a92ae25b35/catalog.rdf
55910338c751df495fa453b9,Centre Régional Auvergne-Rhône-Alpes de l'Information Géographique,55910338c751df495fa453b9,Centre Régional Auvergnat de l'Information Géographique (CRAIG),Centre Régional Auvergne-Rhône-Alpes de l'Information Géographique (CRAIG),54514ad8ee6cc5a34938e6a92ae25b35,http://www.geocatalogue.fr/www/dcat/54514ad8ee6cc5a34938e6a92ae25b35/catalog.rdf
