dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
61d9d4668a1bf56d8e15d806,Lebeaumonde,0.0,,,,,
61d860d3b9a42d352e493b46,AAADATA,0.0,,,,,
61d72fc50eee52581a101eb5,ATELIER MOSAIQUE ET CREATION,0.0,,,,,
61d6dd77b8eaf781baaea6ef,TEM53,1.0,,,,,
61d6bc3763b5b7671609c1e0,Pays d'Argonne,0.0,,,,,
61d6bc3763b5b7671609c1df,Pays d'Argonne,0.0,,,,,
61d5e7bed525a5ea1a523d0b,MBI-Technology,0.0,,,,,
61d5768a63006047833357f0,Commune d'Iholdy,1.0,,,,,
61d328f33a87cb702c732686,Freeledge,0.0,,,,,
61d31d81296d58bab6bf498e,HENRY Philippe,0.0,,,,,
61d2c2be7a6030cf5ce009c6,sebalyo solar,1.0,,,,,
61d084cab1997dea43956e1d,CovidGuadeloupe,1.0,,,,,
61cf4e0db1ef160f078b49b6,HR AUTOS,0.0,,,,,
61ceb483f9276dc5c5168efe,Owlnext,0.0,,,,,
61cdbbde675338fffdf26695,Villes Internet,0.0,,,,,
61caf2051a54365b4981dc49,Alliance Française BRETAGNE,0.0,,,,,
61caece01c2f49b5c4cd984d,Alliance Française Saint Malo- Rennes- Brest Bretagne,0.0,,,,,
61c9d381508707eb4261f81c,Piégut,1.0,,,,,
61c4ac67ff2e3f7a43edd55f,NOVABIO,1.0,,,,,
61c34e1f2585c169e31e0392,Volta Charging,1.0,,,,,
61c32503d488e43b91c7c4b6,Institut d'Urbanisme & de Géographie Alpine de Grenoble,0.0,,,,,
61c25bfb0513f37b06dacaf2,Epicycle,3.0,,,,,
61c1ebb4875658cf8d11d79c,Baie de Somme Habitat - OPH de la Baie de Somme,1.0,,,,,
61c0a0aa4e6d4e05b01455e9,Syndicat Départemental d'Electricité des Vosges,1.0,,,,,
61c0779efd1227bd60c35334,Faire-Mes-Courses.fr,0.0,,,,,
61c0637346580a4d757f7791,Agence Régionale de Santé Centre Val de Loire,1.0,,,,,
61bc92ffd98f43444a009c4a,"EAU DES LACS DE L'ESSONNE, LA REGIE PUBLIQUE",1.0,,,,,
61bc7954e4e9c27a7919dd60,Commune de Masparraute,1.0,,,,,
61bc7100fd68acd3e3e31ddf,Suhescun,1.0,,,,,
61bc55d54716392f7285b225,Ibarrolle,1.0,,,,,
61bb50470368315f5d70887e,Commune de Beyrie-sur-Joyeuse,1.0,,,,,
61bb41310391e630d8844a04,Mairie de Castillon-Savès,1.0,,,,,
61bb124e4ab3b9543d988852,BE CABLE (IRVE),1.0,,,,,
61baf898c2c68ca541e81311,Université Côte d'Azur,0.0,,,,,
61ba568f4245afa6ec5f53ef,secal,0.0,,,,,
61ba22d0252c9c7a11b7f05c,Données Performance Energétique du Parc Résidentiel,2.0,,,,,
61ba1a2b4e19dfabf7fc3ba4,Performance Energétique du Parc Résidentiel,0.0,,,,,
61b9fdde6822adf6e144f63a,La Rochelle Innovation,0.0,,,,,
