dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geop_slug,dgv_slug,geoc_organization_name,geoc_organization_uuid,geoc_organization_url,geoc_slug
5f645ff92c8feaa1ce245e8f,Mairie des Arcs sur Argens,0.0,,,nan,mairie arcs sur argens,Mairie des Arcs sur Argens,70c7dbb71af0d8bc621142a58b6519d6,http://www.geocatalogue.fr/www/dcat/70c7dbb71af0d8bc621142a58b6519d6/catalog.rdf,mairie arcs sur argens
5f60b2cb86bb3584d0f09f08,Clermont Auvergne Métropole,99.0,,,nan,clermont auvergne metropole,Clermont Auvergne Métropole,d59aa5f7223458e5b33eb29a696805a9,http://www.geocatalogue.fr/www/dcat/d59aa5f7223458e5b33eb29a696805a9/catalog.rdf,clermont auvergne metropole
5e721a395d57f93d0bed451f,Santé publique France,22.0,,,nan,sante publique france,Santé publique France,531160f967c8ba0e535e70f6c8996fdb,http://www.geocatalogue.fr/www/dcat/531160f967c8ba0e535e70f6c8996fdb/catalog.rdf,sante publique france
5e6b3dd78b4c415ebe5c72b8,Atmo Nouvelle-Aquitaine,0.0,,,nan,atmo nouvelle-aquitaine,ATMO Nouvelle-Aquitaine,ddc478ea14f66cafc74e400b80aea774,http://www.geocatalogue.fr/www/dcat/ddc478ea14f66cafc74e400b80aea774/catalog.rdf,atmo nouvelle-aquitaine
5e6b3c668b4c41571010282f,Atmo Nouvelle-Aquitaine,0.0,,,nan,atmo nouvelle-aquitaine,ATMO Nouvelle-Aquitaine,ddc478ea14f66cafc74e400b80aea774,http://www.geocatalogue.fr/www/dcat/ddc478ea14f66cafc74e400b80aea774/catalog.rdf,atmo nouvelle-aquitaine
5e6a0f216f4441754f0a9d1b,Parc naturel régional du Verdon,0.0,,,nan,parc naturel regional verdon,Parc Naturel Régional du Verdon,ebe355bf7c9afb83bb9121eb9fa34f1c,http://www.geocatalogue.fr/www/dcat/ebe355bf7c9afb83bb9121eb9fa34f1c/catalog.rdf,parc naturel regional verdon
5e2af3758b4c41693ce44aa3,Communauté d'Agglomération de la Région de Compiègne et de la Basse Automne,1.0,,,nan,communaute agglomeration la region compiegne et la basse automne,Communauté d'Agglomération de la Région de Compiègne et de la Basse Automne,624d3509c726864836fad73c50420143,http://www.geocatalogue.fr/www/dcat/624d3509c726864836fad73c50420143/catalog.rdf,communaute agglomeration la region compiegne et la basse automne
5de7d6fc6f44413185b01841,Communauté de communes du Pays Fouesnantais,0.0,,,nan,communaute communes pays fouesnantais,Communauté de Communes du Pays Fouesnantais,88e384c87b8896c9e776a8192cdc4879,http://www.geocatalogue.fr/www/dcat/88e384c87b8896c9e776a8192cdc4879/catalog.rdf,communaute communes pays fouesnantais
5ddc086f634f41190d4c1006,Géo2France,211.0,,,nan,geo2france,Géo2France,deff6307a83cb17577ef754d04d8d55b,http://www.geocatalogue.fr/www/dcat/deff6307a83cb17577ef754d04d8d55b/catalog.rdf,geo2france
5ddbf5ff6f444103e11e9d3d,Atmo Bourgogne-Franche-Comté,6.0,,,nan,atmo bourgogne-franche-comte,ATMO Bourgogne-Franche-Comté,4c63af9b83ce548a5ecde9fccad6b334,http://www.geocatalogue.fr/www/dcat/4c63af9b83ce548a5ecde9fccad6b334/catalog.rdf,atmo bourgogne-franche-comte
5dc4192f8b4c41249cc6a390,Commune de Bergerac,3.0,,,nan,commune bergerac,Commune de Bergerac,903de4094a619eb9b7f6c9774cf8cee7,http://www.geocatalogue.fr/www/dcat/903de4094a619eb9b7f6c9774cf8cee7/catalog.rdf,commune bergerac
5d36eca88b4c4161e6a77771,METROPOLE ROUEN NORMANDIE,0.0,,,nan,metropole rouen normandie,Métropole Rouen Normandie,f5470b3d0ebde8b2655757448a3f9770,http://www.geocatalogue.fr/www/dcat/f5470b3d0ebde8b2655757448a3f9770/catalog.rdf,metropole rouen normandie
5a0467d188ee38711f65672c,Métropole Rouen Normandie,9.0,,,nan,metropole rouen normandie,Métropole Rouen Normandie,f5470b3d0ebde8b2655757448a3f9770,http://www.geocatalogue.fr/www/dcat/f5470b3d0ebde8b2655757448a3f9770/catalog.rdf,metropole rouen normandie
5d1dba2d634f41226ef05b97,Communauté de Communes de Forez-Est,4.0,,,nan,communaute communes forez-est,Communauté de Communes de Forez-Est,0635a688da4cb1778dcc025be94ed103,http://www.geocatalogue.fr/www/dcat/0635a688da4cb1778dcc025be94ed103/catalog.rdf,communaute communes forez-est
5d1228648b4c4109b4e27b24,Agglomération du Choletais,0.0,,,nan,agglomeration choletais,Agglomération du Choletais,e05f395b2c2b3a94fabd65275d6ae266,http://www.geocatalogue.fr/www/dcat/e05f395b2c2b3a94fabd65275d6ae266/catalog.rdf,agglomeration choletais
5cb6d4f78b4c4118e18f37d1,Tours Métropole Val de Loire,57.0,,,nan,tours metropole val loire,Tours Métropole Val de Loire,3c4c0ae8165b90b7345e21f0792cda91,http://www.geocatalogue.fr/www/dcat/3c4c0ae8165b90b7345e21f0792cda91/catalog.rdf,tours metropole val loire
5c9e2c5d634f412729e9e460,Communauté d'Agglomération du Bassin de Brive,3.0,5c9e2c5d634f412729e9e460,Communauté d'Agglomération du Bassin de Brive,communaute agglomeration bassin brive,communaute agglomeration bassin brive,Communauté d'Agglomération du Bassin de Brive,c1fb8ca5bb41decb6a19e3a6eb7cb6ad,http://www.geocatalogue.fr/www/dcat/c1fb8ca5bb41decb6a19e3a6eb7cb6ad/catalog.rdf,communaute agglomeration bassin brive
5c8f64368b4c4122db3a2b1d,VICHY COMMUNAUTE,0.0,,,nan,vichy communaute,Vichy Communauté,c360cc8fe157342154529c4e44980c4e,http://www.geocatalogue.fr/www/dcat/c360cc8fe157342154529c4e44980c4e/catalog.rdf,vichy communaute
5c7510c18b4c417f11742baf,Ville de Nice,0.0,,,nan,ville nice,Ville de Nice,d2deeb7f0b35125805bc386e6132e287,http://www.geocatalogue.fr/www/dcat/d2deeb7f0b35125805bc386e6132e287/catalog.rdf,ville nice
5c5d4aab8b4c41493760a3c2,Vélo & Territoires,0.0,,,nan,velo & territoires,Vélo & Territoires,910a87d5e842610cca31a9c8d9e27a4d,http://www.geocatalogue.fr/www/dcat/910a87d5e842610cca31a9c8d9e27a4d/catalog.rdf,velo & territoires
5c531ea4634f410f32dba7a1,Communauté d'Agglomération du Pays de Fontainebleau,0.0,,,nan,communaute agglomeration pays fontainebleau,Communauté d'Agglomération du Pays de Fontainebleau,c0919bf8c7880d7448aa15f9d794c1f5,http://www.geocatalogue.fr/www/dcat/c0919bf8c7880d7448aa15f9d794c1f5/catalog.rdf,communaute agglomeration pays fontainebleau
5c34c63a8b4c41718c8b236f,Saint-Etienne Métropole,2.0,,,nan,saint-etienne metropole,Saint-Etienne Métropole,b71e474073814bc569f4ec5ca9f7630b,http://www.geocatalogue.fr/www/dcat/b71e474073814bc569f4ec5ca9f7630b/catalog.rdf,saint-etienne metropole
5bf7f6a3634f413588391745,GéoGrandEst,13.0,5bf7f6a3634f413588391745,CIGAL,cigal,geograndest,GéoGrandEst,def001eda2af8eaccc991eda2236be5b,http://www.geocatalogue.fr/www/dcat/def001eda2af8eaccc991eda2236be5b/catalog.rdf,geograndest
5bf7f6a3634f413588391745,GéoGrandEst,13.0,5bf7f6a3634f413588391745,Conseil départemental du Haut-Rhin,conseil departemental haut-rhin,geograndest,GéoGrandEst,def001eda2af8eaccc991eda2236be5b,http://www.geocatalogue.fr/www/dcat/def001eda2af8eaccc991eda2236be5b/catalog.rdf,geograndest
5bf7f6a3634f413588391745,GéoGrandEst,13.0,5bf7f6a3634f413588391745,RÉGION GRAND EST,région grand est,geograndest,GéoGrandEst,def001eda2af8eaccc991eda2236be5b,http://www.geocatalogue.fr/www/dcat/def001eda2af8eaccc991eda2236be5b/catalog.rdf,geograndest
5bf29ad88b4c413977f828d7,GéoCompiégnois,1.0,5bf29ad88b4c413977f828d7,GéoCompiégnois,geocompiegnois,geocompiegnois,GéoCompiégnois,90af9f258a252ce50b25a75c01a6a57a,http://www.geocatalogue.fr/www/dcat/90af9f258a252ce50b25a75c01a6a57a/catalog.rdf,geocompiegnois
5bec4aea8b4c416395a5e99e,Communauté d'Agglomération de l'Auxerrois,1.0,,,nan,communaute agglomeration auxerrois,Communauté d'Agglomération de l'Auxerrois,227077eae7cfdc84ff1de3f8f1a5ca66,http://www.geocatalogue.fr/www/dcat/227077eae7cfdc84ff1de3f8f1a5ca66/catalog.rdf,communaute agglomeration auxerrois
5bec28758b4c412a07c7ee5e,Communauté d'Agglomération Beaune Côte et Sud,1.0,,,nan,communaute agglomeration beaune côte et sud,Communauté d'Agglomération Beaune Côte et Sud,d186bd754a955502f899910b4733033c,http://www.geocatalogue.fr/www/dcat/d186bd754a955502f899910b4733033c/catalog.rdf,communaute agglomeration beaune côte et sud
